event_id,country,year,strategy,harvest_outcome_pct,downside_pct,rain_anomaly
Niue_1979,Niue,1979,sweet_potato_only,43.455375,0,-18.1
Niue_1979,Niue,1979,mixed_equal,16.048373,0,-18.1
Niue_1980,Niue,1980,cassava_only,-25.288016,25.288016,-12.6
Niue_1980,Niue,1980,taro_only,-53.334298,53.334298,-12.6
Niue_1980,Niue,1980,sweet_potato_only,43.405626,0,-12.6
Niue_1980,Niue,1980,mixed_equal,15.359124,0,-12.6
Niue_1983,Niue,1983,cassava_only,-22.556222,22.556222,-24.1
Niue_1983,Niue,1983,taro_only,-31.683338,31.683338,-24.1
Niue_1983,Niue,1983,sweet_potato_only,43.256482,0,-24.1
Niue_1983,Niue,1983,mixed_equal,18.733712,0,-24.1
Niue_1986,Niue,1986,cassava_only,-9.947403,9.947403,-13.7
Niue_1986,Niue,1986,taro_only,0.575387,0,-13.7
Niue_1986,Niue,1986,sweet_potato_only,43.107494,0,-13.7
Niue_1986,Niue,1986,mixed_equal,25.975752,0,-13.7
Niue_1987,Niue,1987,cassava_only,-14.330168,14.330168,-18.2
Niue_1987,Niue,1987,taro_only,13.062398,0,-18.2
Niue_1987,Niue,1987,sweet_potato_only,43.057865,0,-18.2
Niue_1987,Niue,1987,mixed_equal,27.117573,0,-18.2
Niue_1992,Niue,1992,cassava_only,-1.412975,1.412975,-12.7
Niue_1992,Niue,1992,taro_only,34.756534,0,-12.7
Niue_1992,Niue,1992,sweet_potato_only,-0.033013,0.033013,-12.7
Niue_1992,Niue,1992,mixed_equal,5.84787,0,-12.7
Niue_1997,Niue,1997,cassava_only,0.904454,0,-23.0
Niue_1997,Niue,1997,taro_only,29.469989,0,-23.0
Niue_1997,Niue,1997,sweet_potato_only,0.869097,0,-23.0
Niue_1997,Niue,1997,mixed_equal,6.231878,0,-23.0
Niue_1998,Niue,1998,cassava_only,1.310106,0,-23.5
Niue_1998,Niue,1998,taro_only,28.395187,0,-23.5
Niue_1998,Niue,1998,sweet_potato_only,1.02142,0,-23.5
